"auto_id","WEIGHT"
689,95
3672,381
10870,18
9640,678
10874,74
10875,30
9643,57
692,322
9646,515
3713,1034
10877,40
9648,152
694,454
3719,210
10878,19
695,250
3720,284
10879,15
9650,127
696,254
10880,22
9651,300
10881,5
3727,0
10885,46
9654,203
699,1201
3731,460
700,386
6042,253
3737,523
10796,109
702,400
10797,41
6072,155
3755,593
10905,52
9666,277
10809,104
6073,337
3756,208
6307,142
705,311
9668,11
3768,361
707,258
6101,211
708,1181
6320,159
9671,722
10841,364
3782,670
710,478
711,375
10851,99
712,107
3794,624
10852,141
9679,189
10853,33
714,336
6345,337
5182,1795
5183,818
301,280
922,131
302,202
925,64
1366,359
305,557
5346,321
71,520
5765,41
939,213
5784,47
1379,491
940,59
941,42
5803,141
942,175
6193,146
5815,143
5818,108
1578,95
6232,61
6236,25
5849,311
1829,7
6237,48
947,36
6253,38
1583,87
6517,772
1585,34
6529,35
6534,158
5864,98
5865,42
5866,103
5226,350
333,121
5867,34
5868,25
5869,26
1397,129
7026,1098
5870,32
5886,23
338,59
7293,241
5887,28
339,71
5888,22
5889,31
5261,493
7325,117
5890,25
5262,211
7329,148
5891,114
7379,20
1849,167
966,23
7383,70
1406,952
7384,75
5906,55
1852,158
1409,289
7512,79
7515,116
973,30
7518,86
12413,372
7519,46
12234,390
975,11
7529,89
12415,208
7915,107
1416,2125
5383,325
12418,340
7921,622
7927,97
1422,249
8005,231
1424,280
10857,96
370,30
1631,190
10867,190
1444,695
607,1226
11982,28
11994,39
11996,28
393,95
12014,33
12076,16
12087,15
12088,32
12089,33
12090,33
12091,27
12092,40
12093,54
621,305
12101,122
12102,29
1660,91
12147,19
624,255
12148,32
12149,15
12150,12
12156,31
12286,16
628,272
12287,16
1667,245
12293,41
631,504
12294,24
12295,60
1127,76
12298,53
12299,20
1673,320
12300,45
636,107
12334,64
12335,17
12336,30
639,1091
1133,93
640,29
1134,203
10502,63
10503,44
642,225
1136,164
10504,46
1137,276
10505,43
644,1057
10506,29
645,615
1139,283
10507,22
1140,374
10508,46
10509,60
1142,343
650,484
10554,135
1689,667
651,351
10555,175
652,819
10561,64
435,16
10562,49
436,15
3399,242
10563,62
3400,180
10564,142
656,58
10565,153
3405,348
10566,221
10567,42
10568,47
660,301
10569,22
661,182
3419,327
10659,142
662,97
10660,109
10689,21
1701,1154
10690,29
665,856
10691,44
10692,13
667,169
10693,11
3464,373
10694,12
10695,22
669,538
3467,387
10697,56
670,1004
10699,90
10700,75
10826,76
671,100
10701,48
10827,39
3568,692
10724,160
10828,52
3569,540
10829,61
674,31
3577,432
10726,113
10831,29
458,685
3579,822
10751,29
10832,23
459,290
675,138
10752,83
10833,25
10755,57
10834,47
9614,130
677,96
3604,230
10756,30
10839,73
3623,504
10757,8
10844,80
679,49
3624,492
10758,21
10845,129
10846,27
10794,47
10847,51
682,205
10795,45
10848,120
10807,18
3637,458
10808,19
10861,70
10863,20
686,433
3640,40
10864,26
10865,143
3671,228
10866,26
9639,565
10854,132
715,76
6199,422
3800,238
9683,495
10855,19
6200,1059
3801,327
10862,27
3804,727
10872,75
718,216
3805,273
9766,660
10873,172
6222,885
6411,294
9767,245
720,530
9771,456
10883,56
6417,194
9778,259
10884,29
3829,213
9782,255
10890,26
6285,790
10817,30
6298,93
3836,90
10893,28
10818,52
9802,680
10819,45
6304,21
9808,207
6305,1702
3865,493
9811,71
3213,325
9827,56
9828,275
3216,86
6313,140
6321,89
3895,103
6485,89
3220,177
6322,409
6486,145
9838,1005
3222,171
6337,209
6539,147
9842,57
3917,341
6545,47
3226,9
9846,506
9847,755
6570,388
9852,48
6577,277
9860,321
6354,234
3951,514
6584,203
9861,63
6365,177
6590,129
3242,39
3243,33
3250,520
6627,303
6377,340
6640,250
9881,662
9883,384
3261,278
4082,60
6397,73
9891,454
6418,132
6670,582
9893,296
9894,287
4115,106
6697,2569
9901,56
6757,330
9904,243
9905,610
9914,315
6774,242
6470,413
9927,72
9928,243
6801,2359
9932,178
6816,83
9934,185
6817,211
6825,29
9937,503
4153,1481
9939,371
6542,174
9942,287
4165,245
9946,156
6549,364
6843,418
6559,876
6851,522
9962,326
6561,1296
4148,377
6562,462
9964,1167
9965,80
6868,153
6878,396
6891,74
9970,454
6899,398
6651,507
6652,520
6903,310
6904,162
6675,1041
9975,632
6909,327
6742,184
6973,470
9982,693
9983,551
6983,68
