"auto_id","Unit","ID","DATACLASS","RAWMAT","SUPPORT","TECHNIQUE","FORM","FBTYPE1","FBTYPE2","CORETYPE","BIFTYPE","NORETEDGE","RETINT","T-FCHAR","T-FSURF","T-FLOC","PLATSURF","EXTPLAT","FACES","PLATFORMS","PLATTEC1","PLATTEC2","SCARMORPH","RETEDGE","CORTEX","DISCARD","EDGEDAMAGE","ALTERATION","PROXSCARS","SCARLENGTH","LENGTH","TQWIDTH","TQTHICK","MIDWIDTH","MIDTHICK","TIPWIDTH","WIDTH","LENTOWID","THICK","LENTOTHICK","ROEW1","ROET1","ROEW3","ROET3","PLATWIDTH","PLATTHICK","SMALLPW","BULB","EPA","WEIGHT"
11565,"G28",611,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","PLAIN",NA,"90-99%"," ","NONE","UNALTERED",0,-9999,55.76,-9999,-9999,-9999,-9999,-9999,26.075,-9999,10.02,-9999,-9999,-9999,-9999,-9999,12.15,6.985,-9999,-9999,-9999,16
11559,"G28",609,"COMPFLAKE","OTHERFLINT","FLAKE","NORMAL","NATBACK",38,-9999," ",NA,0,""," "," "," ","PLAIN","CONCAVE",NA,"","","","UNI-DIRECT",NA,"10-40%"," ","NONE","UNALTERED",0,-9999,42.825,-9999,-9999,-9999,-9999,-9999,24.09,-9999,8.84,-9999,-9999,-9999,-9999,-9999,16.79,5.705,-9999,-9999,-9999,16
11610,"G28",620,"COMPFLAKE","LOCALFLINT","FLAKE","OTHER","NORMAL",48,-9999," ",NA,0,""," "," "," ","","",NA,"","","","UNI-DIRECT",NA,"0%"," ","EXT/INT","LIGHTPATIN",0,-9999,42.145,-9999,-9999,-9999,-9999,-9999,22.745,-9999,7.73,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8
11534,"G28",601,"DISTFLAKE","OTHERFLINT","FLAKE","NORMAL","NORMAL",48,-9999," ",NA,0,""," "," "," ","","",NA,"","","","UNI-DIRECT",NA,"1-10%"," ","EXT/INT","UNALTERED",0,-9999,36.74,-9999,-9999,-9999,-9999,-9999,17.52,-9999,4.375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4
10821,"H27",193,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","STRAIGHT",NA,"","","","UNI-DIRECT",NA,"1-10%"," ","INTERIOR","UNALTERED",0,-9999,33.875,-9999,-9999,-9999,-9999,-9999,20.42,-9999,6.505,-9999,-9999,-9999,-9999,-9999,11.73,7.245,-9999,-9999,-9999,-9999
10714,"F29",599,"MEDTOOL","OTHERFLINT","FLAKE","","NORMAL",42,11," ",NA,2,"","NONE"," "," ","","",NA,"","","","",NA,"0%"," ","NONE","HEAVYPATIN",0,-9999,31.41,-9999,-9999,-9999,-9999,-9999,24.3,-9999,6.275,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6
10648,"H27",187,"PROXFLAKE","LOCALFLINT","FLAKE","NORMAL","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","STRAIGHT",NA,"","","","",NA,"10-40%"," ","EXT/INT","UNALTERED",0,-9999,34.295,-9999,-9999,-9999,-9999,-9999,19.91,-9999,11.845,-9999,-9999,-9999,-9999,-9999,12.44,5.07,-9999,-9999,-9999,11
10681,"E29",721,"DISTFLAKE","","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","","",NA,"","","","",NA,"100%"," ","NONE","",0,-9999,32.535,-9999,-9999,-9999,-9999,-9999,24.625,-9999,7.315,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5
10810,"G27",156,"DISTFLAKE","","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","","",NA,"","","","",NA,"0%"," ","EXTERIOR","UNALTERED",0,-9999,25.895,-9999,-9999,-9999,-9999,-9999,15.09,-9999,3.055,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10688,"F29",593,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","PLAIN",NA,"0%"," ","EXTERIOR","UNALTERED",0,-9999,35.435,-9999,-9999,-9999,-9999,-9999,18.08,-9999,4.61,-9999,-9999,-9999,-9999,-9999,10.79,5.22,-9999,-9999,-9999,-9999
10816,"F27",84,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NATBACK",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","",NA,"","","","CONVERGENT",NA,"10-40%"," ","EXTERIOR","UNALTERED",0,-9999,26.905,-9999,-9999,-9999,-9999,-9999,16.19,-9999,5.88,-9999,-9999,-9999,-9999,-9999,17.14,16.83,-9999,-9999,-9999,6
10837,"E27",216,"MEDFLAKE","LOCALFLINT","FLAKE","","",-9999,-9999," ",NA,0,""," "," "," ","","",NA,"","","","",NA,"0%"," ","ROLLED","UNALTERED",0,-9999,24.51,-9999,-9999,-9999,-9999,-9999,15.925,-9999,4.075,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
10838,"E27",217,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","EXPANDING",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","",NA,"0%"," ","NONE","LIGHTPATIN",0,-9999,15.91,-9999,-9999,-9999,-9999,-9999,13.96,-9999,2.14,-9999,-9999,-9999,-9999,-9999,11.15,5.065,-9999,-9999,-9999,1
