"Unit","Level","Sector"
"C29","SURF","SURFACE"
"C29","SURFACE","SURFACE"
"C29","X","X LEVELS"
"C29","X0","X LEVELS"
"C29","X3","X LEVELS"
"D26","8","MAIN PROFILE"
"D26","X","X LEVELS"
"D27","2A","MAIN PROFILE"
"D27","3A","MAIN PROFILE"
"D27","4","MAIN PROFILE"
"D27","8","MAIN PROFILE"
"D28","3D","MAIN PROFILE"
"D28","5","MAIN PROFILE"
"D28","8","MAIN PROFILE"
"D28","DEBLAIS","NONE"
"D28","SURF","SURFACE"
"D28","TERRIER","NONE"
"D28","X3","X LEVELS"
"D29","1B","MAIN PROFILE"
"D29","2A","MAIN PROFILE"
"D29","2D","MAIN PROFILE"
"D29","3A","MAIN PROFILE"
"D29","3B1","MAIN PROFILE"
"D29","3D","MAIN PROFILE"
"D29","5","MAIN PROFILE"
"D29","5A","MAIN PROFILE"
"D29","6","MAIN PROFILE"
"D29","7","MAIN PROFILE"
"D29","SURF","SURFACE"
"D29","SURFACE","SURFACE"
"D29","TERRIER","NONE"
"D29","X","X LEVELS"
"D29","X0","X LEVELS"
"D29","X1","X LEVELS"
"D29","X2","X LEVELS"
"D29","X3","X LEVELS"
"D30","1A","MAIN PROFILE"
"D30","SURF","SURFACE"
"D7","SURF","SURFACE"
"E26","7","MAIN PROFILE"
"E26","8","MAIN PROFILE"
"E27","1B","MAIN PROFILE"
"E27","2A","MAIN PROFILE"
"E27","2B","MAIN PROFILE"
"E27","3","MAIN PROFILE"
"E27","3A","MAIN PROFILE"
"E27","3B","MAIN PROFILE"
"E27","3C","MAIN PROFILE"
"E27","3D","MAIN PROFILE"
"E27","4","MAIN PROFILE"
"E27","5","MAIN PROFILE"
"E27","6","MAIN PROFILE"
"E27","7","MAIN PROFILE"
"E27","8","MAIN PROFILE"
"E27","SURF","SURFACE"
"E27","X","X LEVELS"
"E27","X1","X LEVELS"
"E28","2A","MAIN PROFILE"
"E28","3A","MAIN PROFILE"
"E28","3B","MAIN PROFILE"
"E28","3C","MAIN PROFILE"
"E28","3D","MAIN PROFILE"
"E28","4","MAIN PROFILE"
"E28","5","MAIN PROFILE"
"E28","6","MAIN PROFILE"
"E28","7","MAIN PROFILE"
"E28","7B","MAIN PROFILE"
"E28","8","MAIN PROFILE"
"E28","DEBLAIS","NONE"
"E28","SURF","SURFACE"
"E28","TERRIER","NONE"
"E28","X","X LEVELS"
"E28","X0","X LEVELS"
"E28","X1","X LEVELS"
"E28","X3","X LEVELS"
"E29","1A","MAIN PROFILE"
"E29","2A","MAIN PROFILE"
"E29","2C","MAIN PROFILE"
"E29","2D","MAIN PROFILE"
"E29","3A","MAIN PROFILE"
"E29","3B","MAIN PROFILE"
"E29","3B1","MAIN PROFILE"
"E29","3D","MAIN PROFILE"
"E29","5","MAIN PROFILE"
"E29","5A","MAIN PROFILE"
"E29","6","MAIN PROFILE"
"E29","7","MAIN PROFILE"
"E29","7B","MAIN PROFILE"
"E29","SURF","SURFACE"
"E29","TERRIER","NONE"
"E29","X","X LEVELS"
"F26","7","MAIN PROFILE"
"F26","8","MAIN PROFILE"
"F27","2A","MAIN PROFILE"
"F27","3A","MAIN PROFILE"
"F27","3B","MAIN PROFILE"
"F27","3C","MAIN PROFILE"
"F27","4","MAIN PROFILE"
"F27","5","MAIN PROFILE"
"F27","6","MAIN PROFILE"
"F27","7","MAIN PROFILE"
"F27","8","MAIN PROFILE"
"F27","X1","X LEVELS"
"F28","3B","MAIN PROFILE"
"F28","3C","MAIN PROFILE"
"F28","4","MAIN PROFILE"
"F28","5","MAIN PROFILE"
"F28","6","MAIN PROFILE"
"F28","7","MAIN PROFILE"
"F28","7B","MAIN PROFILE"
"F28","8","MAIN PROFILE"
"F28","DEBLAIS","NONE"
"F28","SURF","SURFACE"
"F29","1A","MAIN PROFILE"
"F29","3C","MAIN PROFILE"
