"auto_id","Weight"
7198,1
6806,1
6806,1
6806,1
6806,1
6806,1
6806,1
6806,1
6806,1
261,0.75
261,0.75
261,0.75
261,0.75
7312,2
7162,1
8675,0.5
8675,0.5
5796,1.66666662693024
5796,1.66666662693024
5796,1.66666662693024
8549,1
8647,1
8647,1
8647,1
7172,0.5
7172,0.5
5629,1
7049,1
7284,1.5
7284,1.5
6818,1
7000,1
5930,1
6669,0.75
6669,0.75
6669,0.75
6669,0.75
5801,1.25
5801,1.25
5801,1.25
5801,1.25
6897,1
6897,1
6897,1
6897,1
6897,1
6897,1
7136,1
6990,0.5
6990,0.5
7118,1
6678,1
6894,1.39999997615814
6894,1.39999997615814
6894,1.39999997615814
6894,1.39999997615814
6894,1.39999997615814
6191,1.5
6191,1.5
6191,1.5
6191,1.5
6191,1.5
6191,1.5
3414,1
5936,1.57142853736877
5936,1.57142853736877
5936,1.57142853736877
5936,1.57142853736877
5936,1.57142853736877
5936,1.57142853736877
5936,1.57142853736877
6783,1
6783,1
6783,1
8557,1
5812,0.333333343267441
5812,0.333333343267441
5812,0.333333343267441
6563,1
6563,1
6563,1
6563,1
3835,1
4070,3
810,3.66666674613953
810,3.66666674613953
810,3.66666674613953
3589,1
4299,1
3973,1
4664,1
4498,2
4498,2
4498,2
3703,1
4736,0.5
4736,0.5
3265,1
4612,1
4291,1
4635,2
3908,1
3852,1
758,1
3247,1
1153,1
4729,1
4729,1
4297,1
3856,1
4731,0.5
4731,0.5
3232,0.5
3232,0.5
1172,0.5
1172,0.5
3590,1
826,1
826,1
4540,2.66666674613953
4540,2.66666674613953
4540,2.66666674613953
3893,1
4655,1
4270,1
4684,1
4302,0.5
4302,0.5
4675,1
3933,1
846,1
4682,0.5
4682,0.5
737,1
4161,1
1164,0.5
1164,0.5
4652,1
3581,1
3581,1
3969,1
4232,2
3875,2.5
3875,2.5
4196,1
3217,1
4069,1
3239,0.5
3239,0.5
4679,1
1151,2
1151,2
1151,2
1151,2
3224,0.333333343267441
3224,0.333333343267441
3224,0.333333343267441
4479,1.5
4479,1.5
3208,1.5
3208,1.5
4079,2
3461,1.5
3461,1.5
3259,2.5
3259,2.5
3204,1
817,1.60000002384186
817,1.60000002384186
817,1.60000002384186
817,1.60000002384186
817,1.60000002384186
1161,3
3452,1
3452,1
4813,1.5
4813,1.5
880,4
5075,1
4071,1
4071,1
4071,1
4071,1
4587,0.5
4587,0.5
3916,1
3197,1
4412,2
4412,2
4412,2
4255,2
4255,2
778,1
4519,2
3948,2
3948,2
3808,2
4552,1
727,1
766,1
4482,1
884,1
4455,2
3770,1
821,0.25
821,0.25
821,0.25
821,0.25
4280,1
3788,1
4215,1
809,1
1165,1
1165,1
1165,1
4665,1
3792,0.5
3792,0.5
726,2
776,1
776,1
3989,0.5
3989,0.5
3842,1
4621,0.666666686534882
4621,0.666666686534882
4621,0.666666686534882
4012,1
730,1
3904,1
3944,0.5
3944,0.5
3889,1
3877,1
4095,1
3675,2
3866,1
4819,2
4080,1
856,1
7320,1
7008,1
5590,1
5642,1
5642,1
7090,1
7090,1
7090,1
5998,0.5
5998,0.5
6282,1
5519,2
5519,2
5840,1.75
5840,1.75
5840,1.75
5840,1.75
5591,1
7331,0.5
7331,0.5
5753,0.5
5753,0.5
5845,2
5710,1.5
5710,1.5
5745,1.5
5745,1.5
5838,3
5838,3
5838,3
5909,1
5727,1.25
5727,1.25
5727,1.25
5727,1.25
5965,1
5813,0.666666686534882
5813,0.666666686534882
5813,0.666666686534882
5819,0.333333343267441
5819,0.333333343267441
5819,0.333333343267441
6018,0.333333343267441
6018,0.333333343267441
6018,0.333333343267441
5880,1
6165,0.833333313465118
6165,0.833333313465118
6165,0.833333313465118
6165,0.833333313465118
6165,0.833333313465118
6165,0.833333313465118
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6700,1.09090912342072
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
6758,1.36363637447357
5772,1
8617,1
5480,0.800000011920929
5480,0.800000011920929
5480,0.800000011920929
5480,0.800000011920929
5480,0.800000011920929
6103,1
6103,1
6103,1
6103,1
6084,2.5
6084,2.5
6084,2.5
6084,2.5
6682,0.333333343267441
6682,0.333333343267441
6682,0.333333343267441
5858,1
5858,1
5858,1
5858,1
5817,1.5
5817,1.5
5937,0.75
5937,0.75
5937,0.75
5937,0.75
6063,1.25
6063,1.25
6063,1.25
6063,1.25
5747,1
1168,1
1168,1
5915,0.5
5915,0.5
5904,2
5904,2
6628,0.5
6628,0.5
3765,2
3765,2
5822,1
5822,1
5822,1
5822,1
6784,1
6464,1
5582,2
5582,2
5695,1
5805,0.333333343267441
5805,0.333333343267441
5805,0.333333343267441
5543,1
5901,1.25
5901,1.25
5901,1.25
5901,1.25
5786,1
5674,1
3931,0.5
3931,0.5
5881,1
5761,1
6060,0.5
6060,0.5
6060,0.5
6060,0.5
6049,0.714285731315613
6049,0.714285731315613
6049,0.714285731315613
6049,0.714285731315613
6049,0.714285731315613
6049,0.714285731315613
6049,0.714285731315613
5743,1.33333337306976
5743,1.33333337306976
5743,1.33333337306976
5496,1.25
5496,1.25
5496,1.25
5496,1.25
6605,1
6777,0.5
6777,0.5
6025,1
6296,1
6296,1
6296,1
5929,0.25
5929,0.25
5929,0.25
5929,0.25
6814,1
6814,1
7182,1.5
7182,1.5
7060,1
5792,0.75
5792,0.75
5792,0.75
5792,0.75
5853,1.20000004768372
5853,1.20000004768372
5853,1.20000004768372
5853,1.20000004768372
5853,1.20000004768372
1147,1.79999995231628
1147,1.79999995231628
1147,1.79999995231628
1147,1.79999995231628
1147,1.79999995231628
8356,1
8356,1
8356,1
8359,1
8355,1
8605,1
8242,1
8525,1
8525,1
6420,0.5
6420,0.5
6420,0.5
6420,0.5
6611,1
6611,1
6611,1
6611,1
7472,1
8250,1
8511,1
8559,1
8593,1
8386,0.5
8386,0.5
6426,1
8547,1
8564,0.5
8564,0.5
8566,1
8390,2
8612,2
8612,2
8591,1
8609,1
7054,1
7054,1
8233,0.5
8233,0.5
8548,0.5
8548,0.5
7483,3
6075,1
6351,1
6351,1
6394,1.66666662693024
6394,1.66666662693024
6394,1.66666662693024
6874,1.66666662693024
6874,1.66666662693024
6874,1.66666662693024
6922,1
6922,1
6922,1
6340,1.5
6340,1.5
6594,1
6594,1
6594,1
6594,1
6594,1
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7955,1.10000002384186
7439,0.5
7439,0.5
7439,0.5
7439,0.5
7485,0.666666686534882
7485,0.666666686534882
7485,0.666666686534882
6919,0.5
6919,0.5
7157,1
6625,0.25
6625,0.25
6625,0.25
6625,0.25
7968,1
7272,1
7272,1
7503,0.444444447755814
7503,0.444444447755814
7503,0.444444447755814
7503,0.444444447755814
7503,0.444444447755814
7503,0.444444447755814
7503,0.444444447755814
7503,0.444444447755814
7503,0.444444447755814
6572,2
6572,2
7222,1
6981,1.33333337306976
6981,1.33333337306976
6981,1.33333337306976
6265,1
6265,1
6964,1
7960,2.5
7960,2.5
7960,2.5
7960,2.5
6488,1
6487,1
7996,1.79999995231628
7996,1.79999995231628
7996,1.79999995231628
7996,1.79999995231628
7996,1.79999995231628
7078,1
6889,1
8097,1
8055,2.33333325386047
8055,2.33333325386047
8055,2.33333325386047
7257,0.5
7257,0.5
7257,0.5
7257,0.5
6357,0.666666686534882
6357,0.666666686534882
6357,0.666666686534882
7223,1.5
7223,1.5
8067,1.25
8067,1.25
8067,1.25
8067,1.25
6984,1
6537,1
7116,1
7249,1
7249,1
7451,0.857142865657806
7451,0.857142865657806
7451,0.857142865657806
7451,0.857142865657806
7451,0.857142865657806
7451,0.857142865657806
7451,0.857142865657806
8084,1.5
8084,1.5
8101,0.333333343267441
8101,0.333333343267441
8101,0.333333343267441
7939,0.5
7939,0.5
6453,0.777777791023254
6453,0.777777791023254
6453,0.777777791023254
6453,0.777777791023254
6453,0.777777791023254
6453,0.777777791023254
6453,0.777777791023254
6453,0.777777791023254
6453,0.777777791023254
7036,0.200000002980232
7036,0.200000002980232
7036,0.200000002980232
7036,0.200000002980232
7036,0.200000002980232
8049,1.66666662693024
8049,1.66666662693024
8049,1.66666662693024
7111,1.5
7111,1.5
7535,1.5
7535,1.5
7397,0.666666686534882
7397,0.666666686534882
7397,0.666666686534882
6273,1
6273,1
7940,1
7940,1
7940,1
7940,1
7940,1
7940,1
7940,1
6600,1
7178,1
7178,1
7178,1
7178,1
7374,2
6398,0.5
6398,0.5
6398,0.5
6398,0.5
6375,2.25
6375,2.25
6375,2.25
6375,2.25
8608,1
8244,0.5
8244,0.5
6571,0.666666686534882
6571,0.666666686534882
6571,0.666666686534882
7324,0.5
7324,0.5
6371,0.714285731315613
6371,0.714285731315613
6371,0.714285731315613
6371,0.714285731315613
6371,0.714285731315613
6371,0.714285731315613
6371,0.714285731315613
6308,1.75
6308,1.75
6308,1.75
6308,1.75
6216,1.33333337306976
6216,1.33333337306976
6216,1.33333337306976
7234,1
7987,0.5
7987,0.5
6496,0.5
6496,0.5
6496,0.5
6496,0.5
8109,0.714285731315613
8109,0.714285731315613
8109,0.714285731315613
8109,0.714285731315613
8109,0.714285731315613
8109,0.714285731315613
8109,0.714285731315613
6220,2.5
6220,2.5
6428,1
8379,1
7302,2
7214,1
7352,1
6483,1
7102,1
7053,1
7053,1
7346,1
6550,1
6999,1.20000004768372
6999,1.20000004768372
6999,1.20000004768372
6999,1.20000004768372
6999,1.20000004768372
9115,3
9956,7
9317,1
9317,1
9527,5
9632,1
9184,1.28571426868439
9184,1.28571426868439
9184,1.28571426868439
9184,1.28571426868439
9184,1.28571426868439
9184,1.28571426868439
9184,1.28571426868439
9918,2
9918,2
9081,0.875
9081,0.875
9081,0.875
9081,0.875
9081,0.875
9081,0.875
9081,0.875
9081,0.875
9605,3.5
9605,3.5
9605,3.5
9605,3.5
9941,4
9941,4
9663,1
9663,1
9606,0.571428596973419
9606,0.571428596973419
9606,0.571428596973419
9606,0.571428596973419
9606,0.571428596973419
9606,0.571428596973419
9606,0.571428596973419
1529,2
9957,0.333333343267441
9957,0.333333343267441
9957,0.333333343267441
1545,1
9813,1
9786,2
9826,2
9826,2
9935,0.333333343267441
9935,0.333333343267441
9935,0.333333343267441
1526,1
9220,1
9220,1
9220,1
9220,1
8951,2.33333325386047
8951,2.33333325386047
8951,2.33333325386047
9052,1
8966,4
7863,1
7810,6
9036,2
8213,1
9103,2
9703,3
9108,1
9931,0.857142865657806
9931,0.857142865657806
9931,0.857142865657806
9931,0.857142865657806
9931,0.857142865657806
9931,0.857142865657806
9931,0.857142865657806
9193,1
9179,1
7632,1
7628,2
7606,1
7648,1
8820,3
8820,3
8890,2
7634,1
8823,0.5
8823,0.5
9035,1.5
9035,1.5
9123,1
9116,1
7640,4
470,0.333333343267441
470,0.333333343267441
470,0.333333343267441
9259,1
9768,1
9909,2
9054,1
9295,0.5
9295,0.5
1530,5
1530,5
9645,3
9173,1
9173,1
9940,2
9908,1.33333337306976
9908,1.33333337306976
9908,1.33333337306976
7662,1
8849,1
7647,0.5
7647,0.5
9794,1
7633,1
7549,1
9874,2
9874,2
7550,1
9251,1
479,0.333333343267441
479,0.333333343267441
479,0.333333343267441
1862,1
1873,1
5408,1
1765,3
1518,1
1744,1
9121,2
8967,1
8971,1
1800,2
1800,2
11467,1
1799,1
1733,1
1793,1
11487,0.5
11487,0.5
11399,0.666666686534882
11399,0.666666686534882
11399,0.666666686534882
11255,1
1801,0.600000023841858
1801,0.600000023841858
1801,0.600000023841858
1801,0.600000023841858
1801,0.600000023841858
11367,0.666666686534882
11367,0.666666686534882
11367,0.666666686534882
11367,0.666666686534882
11367,0.666666686534882
11367,0.666666686534882
11517,7
11328,1
1774,3
1739,0.5
1739,0.5
11531,2
11531,2
11531,2
11893,1.5
11893,1.5
11536,4
11305,2
11305,2
11245,1
11198,0.5
11198,0.5
11322,0.5
11322,0.5
11270,1
11611,0.666666686534882
11611,0.666666686534882
11611,0.666666686534882
11286,1
1788,0.333333343267441
1788,0.333333343267441
1788,0.333333343267441
11349,1
11256,1
11256,1
11256,1
11557,1
1758,1
11380,0.5
11380,0.5
11535,0.5
11535,0.5
11472,1
11560,1
11366,1
11420,0.666666686534882
11420,0.666666686534882
11420,0.666666686534882
11278,1.66666662693024
11278,1.66666662693024
11278,1.66666662693024
11215,0.666666686534882
11215,0.666666686534882
11215,0.666666686534882
10256,1
11229,0.5
11229,0.5
11410,1
11414,3
11197,1
10167,2
10167,2
10167,2
10103,1.33333337306976
10103,1.33333337306976
10103,1.33333337306976
10126,1
10126,1
10013,2
10074,0.5
10074,0.5
11149,1
11149,1
10340,1
10340,1
10308,0.666666686534882
10308,0.666666686534882
10308,0.666666686534882
11566,1
11869,4
11128,0.5
11128,0.5
11128,0.5
11128,0.5
10038,1
10047,0.5
10047,0.5
9998,1
11164,1
10174,0.75
10174,0.75
10174,0.75
10174,0.75
11344,0.5
11344,0.5
11299,1
9978,1
11525,1
11330,1.5
11330,1.5
10205,0.5
10205,0.5
11176,3
11120,1
11474,4
11200,0.666666686534882
11200,0.666666686534882
11200,0.666666686534882
11194,0.5
11194,0.5
1773,1
11436,1
11284,1
11511,2.33333325386047
11511,2.33333325386047
11511,2.33333325386047
11188,1
1787,4
11493,2
10355,1
11181,1
9989,1
10353,0.5
10353,0.5
1509,1
994,3
994,3
1519,1.66666662693024
1519,1.66666662693024
1519,1.66666662693024
1540,1.5
1540,1.5
1505,1
1798,1
1512,6
1500,1
1521,3
1919,0.5
1919,0.5
470,3
1860,1
1533,1
1739,1
1739,1
490,4
517,2
1781,1
501,1.5
501,1.5
1000,1.33333337306976
1000,1.33333337306976
1000,1.33333337306976
488,0.5
488,0.5
479,1.33333337306976
479,1.33333337306976
479,1.33333337306976
108,1
507,1
516,3
497,1
472,0.5
472,0.5
1005,1
514,1
514,1
514,1
266,1.33333337306976
266,1.33333337306976
266,1.33333337306976
1159,1
12232,1
10936,1
3757,3.5
3757,3.5
11565,16
11559,16
11610,8
11534,4
10714,6
10648,11
10681,5
10816,6
10837,2
10838,1
10799,1
10806,3
10773,6
10657,11
10897,5
10687,6
10663,5
10899,3
10898,2
10715,5
10843,1
10891,8
10792,32
5657,6
10856,1
10835,10
10789,16
10882,37
10896,11
10723,11
10661,15
10665,34
10798,4
10672,20
10787,75
10823,73
10793,38
10825,37
10683,10
10876,7
10769,12
10706,9
12100,6
10894,6
10871,4
10849,7
10811,6
10815,7
10892,4
10858,3
10696,71
10698,120
347,171
11429,50
4162,17
4605,172
7429,12
7962,71
11528,95
5560,9
9361,10
3674,5
5774,2
11374,1
10763,170
10531,31
12324,38
10403,15
12310,35
10494,22
10746,111
10559,49
10778,24
10760,56
10408,21
10495,16
12145,20
12146,2
12323,22
12289,21
10413,25
10485,11
12309,22
10750,9
10684,5
12321,8
12333,5
10523,12
10517,5
10779,9
10551,4
10776,3
12332,3
10515,6
10749,5
10685,4
10407,5
10496,5
10542,4
12143,6
10775,5
10524,4
11976,2
12327,5
10533,1
10547,2
10396,1
10397,1
10406,1
11992,8
10741,2
11991,7
10439,9
12078,4
10470,11
10475,8
10440,5
11993,1
11989,4
10526,1
12070,3
12073,1
12315,1
12072,1
12330,8
12296,53
10445,88
12337,53
10444,54
12155,89
10488,40
10745,32
10433,33
12141,23
10422,28
12157,37
12314,62
12131,34
10736,22
12307,50
12066,61
10434,58
10392,231
12067,222
11987,98
