"unit","n","geoms"
"C29",5,"2,29,0,3,29,0,3,30,0,2,30,0,2,29,0"
"D26",5,"3,26,0,3,27,0,4,27,0,4,26,0,3,26,0"
"D27",5,"3,27,0,3,28,0,4,28,0,4,27,0,3,27,0"
"D28",5,"3,28,0,3,29,0,4,29,0,4,28,0,3,28,0"
"D29",5,"3,29,0,4,29,0,4,30,0,3,30,0,3,29,0"
"DATUM1",1,"4.644,28.748,0"
"DATUM2",1,"6.287,15.033,-5.442"
"DATUM3",1,"5.702,33.493,-0.834"
"DATUM4",1,"9.393,32.157,-0.783"
"DATUM5",1,"12.38,2.444,-4.018"
"DATUM6",1,"8.79,1.906,-4.014"
"E26",5,"4,26,0,4,27,0,5,27,0,5,26,0,4,26,0"
"E27",5,"4,27,0,4,28,0,5,28,0,5,27,0,4,27,0"
"E28",5,"4,28,0,4,29,0,5,29,0,5,28,0,4,28,0"
"E29",5,"4,29,0,5,29,0,5,30,0,4,30,0,4,29,0"
"ESOND",8,"-38.745,50.363,6.959,-37.763,50.096,6.9,-38.299,47.574,5.604,-38.687,44.762,4.195,-42.24,45.671,3.572,-42.263,47.249,4.651,-39.418,47.889,5.892,-38.706,50.405,6.967"
"F26",5,"5,26,0,5,27,0,6,27,0,6,26,0,5,26,0"
"F27",5,"5,27,0,5,28,0,6,28,0,6,27,0,5,27,0"
"F28",5,"5,28,0,5,29,0,6,29,0,6,28,0,5,28,0"
"F29",5,"5,29,0,6,29,0,6,30,0,5,30,0,5,29,0"
"F42",5,"5,42,0,6,42,0,6,43,0,5,43,0,5,42,0"
"F43",5,"5,43,0,6,43,0,6,44,0,5,44,0,5,43,0"
"G26",5,"6,26,0,6,27,0,7,27,0,7,26,0,6,26,0"
"G27",5,"6,27,0,6,28,0,7,28,0,7,27,0,6,27,0"
"G28",5,"6,28,0,6,29,0,7,29,0,7,28,0,6,28,0"
"G42",5,"6,42,0,7,42,0,7,43,0,6,43,0,6,42,0"
"G43",5,"6,43,0,7,43,0,7,44,0,6,44,0,6,43,0"
"G44",5,"6,44,0,7,44,0,7,45,0,6,45,0,6,44,0"
"H26",5,"7,26,0,7,27,0,8,27,0,8,26,0,7,26,0"
"H27",5,"7,27,0,7,28,0,8,28,0,8,27,0,7,27,0"
"H28",5,"7,28,0,7,29,0,8,29,0,8,28,0,7,28,0"
"H42",5,"7,42,0,8,42,0,8,43,0,7,43,0,7,42,0"
"H43",5,"7,43,0,8,43,0,8,44,0,7,44,0,7,43,0"
"H44",5,"7,44,0,8,44,0,8,45,0,7,45,0,7,44,0"
"I11",5,"8,11,0,9,11,0,9,12,0,8,12,0,8,11,0"
"I26",5,"8,26,0,8,27,0,9,27,0,9,26,0,8,26,0"
"I27",5,"8,27,0,8,28,0,9,28,0,9,27,0,8,27,0"
"I28",5,"8,28,0,8,29,0,9,29,0,9,28,0,8,28,0"
"I30",5,"8,30,0,9,30,0,9,31,0,8,31,0,8,30,0"
"I42",5,"8,42,0,9,42,0,9,43,0,8,43,0,8,42,0"
"I43",5,"8,43,0,9,43,0,9,44,0,8,44,0,8,43,0"
"J10",5,"9,10,0,10,10,0,10,11,0,9,11,0,9,10,0"
"J11",5,"9,11,0,10,11,0,10,12,0,9,12,0,9,11,0"
"J12",5,"9,12,0,10,12,0,10,13,0,9,13,0,9,12,0"
"J13",5,"9,13,0,10,13,0,10,14,0,9,14,0,9,13,0"
"J14",5,"9,14,0,10,14,0,10,15,0,9,15,0,9,14,0"
"J30",5,"9,30,0,10,30,0,10,31,0,9,31,0,9,30,0"
"J42",5,"9,42,0,10,42,0,10,43,0,9,43,0,9,42,0"
"J43",5,"9,43,0,10,43,0,10,44,0,9,44,0,9,43,0"
"K10",5,"10,10,0,11,10,0,11,11,0,10,11,0,10,10,0"
"K11",5,"10,11,0,11,11,0,11,12,0,10,12,0,10,11,0"
"K12",5,"10,12,0,11,12,0,11,13,0,10,13,0,10,12,0"
"K13",5,"10,13,0,11,13,0,11,14,0,10,14,0,10,13,0"
"K14",5,"10,14,0,11,14,0,11,15,0,10,15,0,10,14,0"
"K30",5,"10,30,0,11,30,0,11,31,0,10,31,0,10,30,0"
"L10",5,"11,10,0,12,10,0,12,11,0,11,11,0,11,10,0"
"L11",5,"11,11,0,12,11,0,12,12,0,11,12,0,11,11,0"
"L12",5,"11,12,0,12,12,0,12,13,0,11,13,0,11,12,0"
"NEWMAN",1,"6.291,15.031,-5.443"
"S01",1,"11.216,1.011,-5.53"
"S02",1,"0.876,-0.61,-6.016"
"S03",1,"-0.537,18.96,3.669"
"S04",1,"9.582,20.098,2.243"
"S05",1,"-3.319,32.554,4.151"
"S06",1,"-6.088,46.148,5.413"
"S07",1,"5.344,53.424,6.723"
"S09",1,"-9.794,68.004,8.411"
"S10",1,"33.086,51.827,3.329"
"S11",1,"9.695,44.058,5.834"
"S12",1,"11.768,36.183,5.09"
"S13",1,"20.141,37.9,2.925"
"S14",1,"6.721,39.427,6.053"
"S15",1,"6.447,32.603,5.732"
"S16",1,"28.197,31.672,-1.66"
"S17",1,"37.442,22.768,-5.177"
"S18",1,"25.116,15.769,-5.331"
"S19",1,"21.479,3.371,-6.42"
