"auto_ids","n","geoms"
1,2,"2.928,28.703,-1.925,2.977,28.665,-1.913"
2,1,"2.876,28.759,-1.929"
3,2,"2.98,28.74,-1.962,2.943,28.68,-1.945"
4,2,"2.838,28.659,-1.943,2.929,28.605,-1.947"
5,1,"2.884,28.725,-1.945"
6,1,"2.8,28.589,-1.95"
7,1,"2.741,28.591,-1.957"
8,1,"2.838,28.39,-1.926"
9,1,"2.793,28.408,-1.914"
10,1,"2.962,28.253,-2.006"
11,1,"2.963,28.177,-1.986"
12,1,"2.978,28.157,-1.955"
13,1,"2.918,28.207,-1.955"
14,2,"2.921,28.234,-1.99,2.967,28.146,-1.998"
15,1,"2.954,28.236,-1.995"
16,1,"2.853,28.249,-1.985"
17,1,"2.974,28.208,-1.991"
18,1,"2.779,28.503,-1.936"
19,1,"2.753,28.47,-1.948"
20,1,"2.811,28.485,-1.951"
21,1,"2.793,28.668,-1.976"
22,1,"2.794,28.585,-1.953"
23,1,"2.735,28.601,-1.971"
24,1,"2.928,28.545,-1.969"
25,1,"2.68,28.575,-1.866"
26,1,"3.122,28.529,-1.982"
27,1,"3.102,28.552,-1.984"
28,1,"3.13,28.597,-1.995"
29,1,"3.019,28.654,-1.99"
30,1,"3.042,28.431,-1.989"
31,1,"2.625,28.551,-1.991"
32,1,"2.853,28.508,-1.995"
33,2,"2.995,28.46,-2.017,3.032,28.504,-2.008"
34,1,"2.776,28.829,-1.967"
35,1,"2.795,28.835,-1.961"
36,1,"2.799,28.677,-1.978"
37,1,"2.932,28.691,-1.993"
38,1,"2.872,28.917,-1.966"
39,1,"2.839,28.766,-1.993"
40,1,"2.864,28.678,-2.003"
41,2,"2.961,28.598,-2.008,3.005,28.617,-2.008"
42,1,"2.836,28.656,-2.01"
43,1,"2.79,28.63,-2.032"
44,2,"2.914,28.739,-1.998,2.887,28.792,-1.993"
45,1,"2.897,28.753,-2.017"
46,2,"2.808,28.598,-2.056,2.967,28.614,-2.051"
47,1,"2.988,28.711,-2.04"
48,1,"2.911,28.86,-2.023"
49,1,"2.859,28.834,-2.023"
50,1,"2.926,28.933,-1.999"
51,1,"2.876,28.859,-2.027"
3427,1,"2.988,28.555,-2.098"
3655,1,"2.983,28.954,-2.02"
3689,2,"2.784,28.808,-1.958,2.89,28.9,-2.061"
3692,1,"2.865,28.871,-2.062"
3693,1,"2.93,28.958,-2.081"
3694,1,"2.966,28.857,-2.072"
3695,1,"2.946,28.969,-1.985"
3698,1,"2.95,28.807,-2.1"
3706,1,"2.861,28.642,-2.202"
3709,1,"2.965,28.817,-2.251"
3718,2,"2.961,28.944,-2.122,2.99,28.899,-2.134"
3724,2,"2.953,28.592,-2.26,3,28.554,-2.277"
3725,1,"2.999,28.946,-2.129"
3729,1,"2.869,28.813,-2.168"
3733,1,"2.973,28.974,-2.164"
3741,1,"2.815,28.733,-2.183"
3743,1,"2.784,28.888,-2.157"
3744,1,"2.821,28.921,-2.161"
3747,1,"2.93,28.994,-2.061"
3748,1,"2.915,28.466,-2.289"
3750,1,"2.787,28.744,-2.2"
3751,1,"2.909,28.842,-2.261"
3761,1,"2.958,28.685,-2.335"
3774,1,"2.988,28.826,-2.345"
3832,1,"2.936,28.711,-2.519"
9371,1,"2.962,28.68,-1.985"
9372,1,"2.962,28.68,-1.985"
9373,1,"2.962,28.68,-1.985"
9374,1,"2.962,28.68,-1.985"
9375,1,"2.962,28.68,-1.985"
9376,1,"2.933,28.625,-2.011"
9377,1,"2.933,28.625,-2.011"
9684,1,"2.751,28.67,-2.459"
10498,1,"2.997,28.484,-2.616"
3838,1,"2.932,28.878,-2.49"
52,1,"2.982,28.737,-2.034"
3807,1,"2.959,28.457,-2.488"
53,1,"2.933,28.625,-2.011"
8215,5,"2.764,28.982,-1.819,2.848,29.023,-1.85,2.845,29.008,-1.963,2.776,28.971,-1.922,2.764,28.982,-1.819"
4164,1,"2.997,28.484,-2.616"
3715,4,"2.958,28.638,-2.264,3.291,28.822,-2.259,3.077,28.8,-2.25,2.958,28.638,-2.264"
3950,1,"2.934,28.858,-2.51"
54,1,"2.962,28.68,-1.985"
55,2,"2.788,28.859,-1.953,2.876,28.826,-1.962"
6656,1,"2.991,29.548,-1.927"
6657,1,"2.916,29.143,-1.941"
6658,1,"2.943,29.152,-2.06"
6659,2,"2.956,29.049,-2.037,2.954,29.104,-2.02"
6667,1,"2.869,29.131,-2.002"
6679,2,"2.836,29.297,-1.996,2.875,29.204,-2.011"
6680,1,"2.849,29.206,-1.982"
6681,1,"2.845,29.183,-2.011"
